Date,Type,Details,Amount,Units,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
23/08/2024 14:46:08,Open Position,NSDQ100/USD," 149,99 ",0.152118," 0,00 "," 1.420,71 "," 1.120,73 ",2797047624,CFD," 0,00 "
23/08/2024 14:47:24,Open Position,NSDQ100/USD," 289,98 ",0.294962," 0,00 "," 1.420,71 "," 830,75 ",2797049258,CFD," 0,00 "
23/08/2024 14:48:45,Open Position,NSDQ100/USD," 149,99 ",0.153197," 0,00 "," 1.420,71 "," 680,76 ",2797052159,CFD," 0,00 "
23/08/2024 14:50:05,Open Position,NSDQ100/USD," 50,00 ",0.051024," 0,00 "," 1.420,71 "," 630,76 ",2797054358,CFD," 0,00 "
23/08/2024 14:54:37,Open Position,NSDQ100/USD," 159,99 ",0.163398," 0,00 "," 1.420,71 "," 470,77 ",2797102149,CFD," 0,00 "
23/08/2024 14:57:31,Open Position,NSDQ100/USD," 119,99 ",0.122181," 0,00 "," 1.420,71 "," 350,78 ",2797105564,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 302,32 ",0.294962," 12,34 "," 1.433,05 "," 653,10 ",2797049258,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 147,43 ",0.152118,"(2,56)"," 1.430,49 "," 800,53 ",2797047624,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 145,83 ",0.152037,"(4,16)"," 1.426,33 "," 946,36 ",2797047323,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 168,70 ",0.153197," 18,71 "," 1.445,04 "," 1.115,06 ",2797052159,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 179,70 ",0.163398," 19,71 "," 1.464,75 "," 1.294,76 ",2797102149,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 55,42 ",0.051024," 5,42 "," 1.470,17 "," 1.350,18 ",2797054358,CFD," 0,00 "
23/08/2024 15:23:38,Position closed,NSDQ100/USD," 127,55 ",0.122181," 7,56 "," 1.477,73 "," 1.477,73 ",2797105564,CFD," 0,00 "
23/08/2024 15:28:30,Open Position,NSDQ100/USD," 50,00 ",0.050786," 0,00 "," 1.477,73 "," 1.427,73 ",2797158329,CFD," 0,00 "
23/08/2024 15:28:49,Open Position,NSDQ100/USD," 50,00 ",0.050767," 0,00 "," 1.477,73 "," 1.377,73 ",2797158644,CFD," 0,00 "
23/08/2024 15:29:17,Open Position,NSDQ100/USD," 50,00 ",0.050774," 0,00 "," 1.477,73 "," 1.327,73 ",2797159096,CFD," 0,00 "
23/08/2024 15:31:12,Open Position,NSDQ100/USD," 50,00 ",0.050770," 0,00 "," 1.477,73 "," 1.277,73 ",2797160404,CFD," 0,00 "
23/08/2024 15:31:32,Open Position,NSDQ100/USD," 50,00 ",0.050760," 0,00 "," 1.477,73 "," 1.227,73 ",2797160555,CFD," 0,00 "
23/08/2024 15:33:38,Open Position,NSDQ100/USD," 50,00 ",0.050759," 0,00 "," 1.477,73 "," 1.177,73 ",2797161988,CFD," 0,00 "
23/08/2024 15:36:36,Open Position,NSDQ100/USD," 50,00 ",0.050779," 0,00 "," 1.477,73 "," 1.127,73 ",2797164038,CFD," 0,00 "
23/08/2024 15:39:34,Open Position,NSDQ100/USD," 99,98 ",0.101480," 0,00 "," 1.477,73 "," 1.027,75 ",2797168694,CFD," 0,00 "
23/08/2024 15:45:34,Open Position,NSDQ100/USD," 99,99 ",0.101806," 0,00 "," 1.477,73 "," 927,76 ",2797173841,CFD," 0,00 "
23/08/2024 15:45:51,Open Position,NSDQ100/USD," 60,00 ",0.061087," 0,00 "," 1.477,73 "," 867,76 ",2797174009,CFD," 0,00 "
23/08/2024 15:46:00,Open Position,NSDQ100/USD," 50,00 ",0.050908," 0,00 "," 1.477,73 "," 817,76 ",2797174095,CFD," 0,00 "
23/08/2024 15:46:17,Open Position,NSDQ100/USD," 99,99 ",0.101835," 0,00 "," 1.477,73 "," 717,77 ",2797174263,CFD," 0,00 "
23/08/2024 15:46:34,Open Position,NSDQ100/USD," 50,00 ",0.050875," 0,00 "," 1.477,73 "," 667,77 ",2797174611,CFD," 0,00 "
23/08/2024 15:46:49,Open Position,NSDQ100/USD," 50,00 ",0.050871," 0,00 "," 1.477,73 "," 617,77 ",2797175164,CFD," 0,00 "
23/08/2024 15:48:41,Open Position,NSDQ100/USD," 50,00 ",0.050825," 0,00 "," 1.477,73 "," 567,77 ",2797176307,CFD," 0,00 "
23/08/2024 15:49:36,Open Position,NSDQ100/USD," 50,00 ",0.050814," 0,00 "," 1.477,73 "," 517,77 ",2797176819,CFD," 0,00 "
23/08/2024 15:50:13,Open Position,NSDQ100/USD," 50,00 ",0.050843," 0,00 "," 1.477,73 "," 467,77 ",2797177196,CFD," 0,00 "
23/08/2024 15:50:32,Open Position,NSDQ100/USD," 119,99 ",0.122086," 0,00 "," 1.477,73 "," 347,78 ",2797177622,CFD," 0,00 "
23/08/2024 15:50:50,Open Position,NSDQ100/USD," 89,99 ",0.091573," 0,00 "," 1.477,73 "," 257,79 ",2797177713,CFD," 0,00 "
23/08/2024 15:51:19,Open Position,NSDQ100/USD," 50,00 ",0.050899," 0,00 "," 1.477,73 "," 207,79 ",2797177902,CFD," 0,00 "
23/08/2024 15:53:37,Open Position,NSDQ100/USD," 50,00 ",0.050879," 0,00 "," 1.477,73 "," 157,79 ",2797179199,CFD," 0,00 "
23/08/2024 16:01:12,Open Position,NSDQ100/USD," 50,00 ",0.050998," 0,00 "," 1.477,73 "," 107,79 ",2797186305,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 49,00 ",0.050770,"(1,00)"," 1.476,73 "," 156,79 ",2797160404,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 49,08 ",0.050774,"(0,92)"," 1.475,81 "," 205,87 ",2797159096,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 49,31 ",0.050786,"(0,69)"," 1.475,12 "," 255,18 ",2797158329,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 48,93 ",0.050767,"(1,07)"," 1.474,05 "," 304,11 ",2797158644,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 97,01 ",0.101480,"(2,97)"," 1.471,08 "," 401,12 ",2797168694,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 48,80 ",0.050760,"(1,20)"," 1.469,88 "," 449,92 ",2797160555,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 49,18 ",0.050779,"(0,82)"," 1.469,06 "," 499,10 ",2797164038,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 103,24 ",0.101806," 3,25 "," 1.472,31 "," 602,34 ",2797173841,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 48,79 ",0.050759,"(1,21)"," 1.471,10 "," 651,13 ",2797161988,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 62,01 ",0.061087," 2,01 "," 1.473,11 "," 713,14 ",2797174009,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 103,80 ",0.101835," 3,81 "," 1.476,92 "," 816,94 ",2797174263,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 51,08 ",0.050875," 1,08 "," 1.478,00 "," 868,02 ",2797174611,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 49,87 ",0.050814,"(0,13)"," 1.477,87 "," 917,89 ",2797176819,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 51,00 ",0.050871," 1,00 "," 1.478,87 "," 968,89 ",2797175164,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 51,54 ",0.050899," 1,54 "," 1.480,41 "," 1.020,43 ",2797177902,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 50,45 ",0.050843," 0,45 "," 1.480,86 "," 1.070,88 ",2797177196,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 51,73 ",0.050908," 1,73 "," 1.482,59 "," 1.122,61 ",2797174095,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 122,28 ",0.122086," 2,29 "," 1.484,88 "," 1.244,89 ",2797177622,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 51,16 ",0.050879," 1,16 "," 1.486,04 "," 1.296,05 ",2797179199,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 50,09 ",0.050825," 0,09 "," 1.486,13 "," 1.346,14 ",2797176307,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 53,49 ",0.050998," 3,49 "," 1.489,62 "," 1.399,63 ",2797186305,CFD," 0,00 "
23/08/2024 18:45:39,Position closed,NSDQ100/USD," 91,86 ",0.091573," 1,87 "," 1.491,49 "," 1.491,49 ",2797177713,CFD," 0,00 "
25/08/2024 22:24:57,Open Position,NSDQ100/USD," 150,00 ",0.151970," 0,00 "," 1.491,49 "," 1.341,49 ",2797376273,CFD," 0,00 "
25/08/2024 22:26:05,Open Position,USD/JPY," 340,00 ",10200.000000," 0,00 "," 1.491,49 "," 1.001,49 ",2797376337,CFD," 0,00 "
25/08/2024 22:43:54,Position closed,NSDQ100/USD," 161,63 ",0.151970," 11,63 "," 1.503,12 "," 1.163,12 ",2797376273,CFD," 0,00 "
26/08/2024 02:54:44,Open Position,NSDQ100/USD," 300,00 ",0.304215," 0,00 "," 1.503,12 "," 863,12 ",2797393436,CFD," 0,00 "
26/08/2024 05:27:29,Open Position,NSDQ100/USD," 207,99 ",0.211130," 0,00 "," 1.503,12 "," 655,13 ",2797403308,CFD," 0,00 "
26/08/2024 07:16:53,Open Position,NSDQ100/USD," 300,00 ",0.304036," 0,00 "," 1.503,12 "," 355,13 ",2797433452,CFD," 0,00 "
26/08/2024 07:35:15,Position closed,NSDQ100/USD," 306,21 ",0.304036," 6,21 "," 1.509,33 "," 661,34 ",2797433452,CFD," 0,00 "
26/08/2024 07:35:15,Position closed,NSDQ100/USD," 218,85 ",0.211130," 10,86 "," 1.520,19 "," 880,19 ",2797403308,CFD," 0,00 "
26/08/2024 07:35:15,Position closed,NSDQ100/USD," 309,75 ",0.304215," 9,75 "," 1.529,94 "," 1.189,94 ",2797393436,CFD," 0,00 "
26/08/2024 07:38:48,Open Position,NSDQ100/USD," 50,00 ",0.050636," 0,00 "," 1.529,94 "," 1.139,94 ",2797451213,CFD," 0,00 "
26/08/2024 07:39:04,Open Position,NSDQ100/USD," 50,00 ",0.050636," 0,00 "," 1.529,94 "," 1.089,94 ",2797451299,CFD," 0,00 "
26/08/2024 07:45:20,Open Position,NSDQ100/USD," 149,99 ",0.151961," 0,00 "," 1.529,94 "," 939,95 ",2797452737,CFD," 0,00 "
26/08/2024 07:45:38,Open Position,NSDQ100/USD," 50,00 ",0.050655," 0,00 "," 1.529,94 "," 889,95 ",2797452766,CFD," 0,00 "
26/08/2024 07:46:09,Open Position,NSDQ100/USD," 70,00 ",0.070923," 0,00 "," 1.529,94 "," 819,95 ",2797452821,CFD," 0,00 "
26/08/2024 07:46:56,Open Position,NSDQ100/USD," 50,00 ",0.050656," 0,00 "," 1.529,94 "," 769,95 ",2797452913,CFD," 0,00 "
26/08/2024 07:47:30,Open Position,NSDQ100/USD," 149,99 ",0.151983," 0,00 "," 1.529,94 "," 619,96 ",2797452963,CFD," 0,00 "
26/08/2024 07:47:50,Open Position,NSDQ100/USD," 50,00 ",0.050660," 0,00 "," 1.529,94 "," 569,96 ",2797453070,CFD," 0,00 "
26/08/2024 07:49:32,Open Position,NSDQ100/USD," 100,00 ",0.101306," 0,00 "," 1.529,94 "," 469,96 ",2797453330,CFD," 0,00 "
26/08/2024 07:53:23,Open Position,NSDQ100/USD," 100,00 ",0.101287," 0,00 "," 1.529,94 "," 369,96 ",2797454136,CFD," 0,00 "
