Position ID,Action,Long / Short,Amount,Units,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop lose rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2799639419,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 199,99 ",0.207074,29/08/2024 07:54:59,29/08/2024 13:33:54,20," 0,61 ",0.00," 38,46 ",-,-," 19.316,75 "," 19.502,49 "," 19.799,57 "," 18.833,84 "," 0,00 ",-,CFD,US6311011026,
2798947054,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 299,99 ",0.204492,28/08/2024 11:52:40,29/08/2024 13:33:54,20," 0,60 ",0.00,"(11,90)",-,-," 19.560,66 "," 19.502,49 "," 20.049,16 "," 18.582,63 ","(1,08)",-,CFD,US6311011026,
2799138807,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 1.295,35 ",1.119968,28/08/2024 14:10:54,29/08/2024 13:33:54,20," 3,28 ",0.00," 27,98 ",-,-," 19.477,51 "," 19.502,49 "," 19.961,89 "," 18.807,85 ","(5,91)",-,CFD,US6311011026,
2798948835,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 65,00 ",0.051138,28/08/2024 11:57:21,29/08/2024 13:33:54,20," 0,15 ",0.00,"(2,67)",-,-," 19.554,76 "," 19.502,49 "," 20.043,73 "," 18.772,56 ","(0,27)",-,CFD,US6311011026,
2799341231,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 650,00 ",0.620642,28/08/2024 15:36:23,29/08/2024 13:33:54,20," 1,82 ",0.00," 104,08 ",-,-," 19.334,80 "," 19.502,49 "," 19.820,22 "," 18.770,87 ","(3,28)",-,CFD,US6311011026,
2798946738,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.122634,28/08/2024 11:50:10,28/08/2024 22:46:07,20," 0,35 ",0.00,"(60,16)",-,-," 19.570,37 "," 19.079,77 "," 20.059,83 "," 19.081,11 ","(0,65)",-,CFD,US6311011026,
2798912582,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 519,99 ",0.509809,28/08/2024 09:25:27,28/08/2024 22:46:07,20," 1,46 ",0.00,"(270,25)",-,-," 19.615,17 "," 19.085,07 "," 20.105,55 "," 19.085,56 ","(2,69)",-,CFD,US6311011026,
2798945865,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 300,00 ",0.306424,28/08/2024 11:45:00,28/08/2024 22:46:07,20," 0,88 ",0.00,"(151,86)",-,-," 19.580,67 "," 19.085,07 "," 20.070,19 "," 19.091,16 ","(1,62)",-,CFD,US6311011026,
2798939747,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 260,00 ",0.265492,28/08/2024 11:09:19,28/08/2024 22:45:44,20," 0,76 ",0.00,"(130,04)",-,-," 19.586,27 "," 19.096,47 "," 20.076,23 "," 19.096,62 ","(1,40)",-,CFD,US6311011026,
2798915532,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,00 ",0.102049,28/08/2024 09:43:52,28/08/2024 22:42:11,20," 0,29 ",0.00,"(50,66)",-,-," 19.598,37 "," 19.101,97 "," 20.088,33 "," 19.108,41 ","(0,54)",-,CFD,US6311011026,
