Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
3095240374,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,99 ",0.102757,07/08/2025 04:54:26,07/08/2025 06:57:55,20," 0,36 ",0.00," 1,49 ",-,-," 23.356,06 "," 23.370,55 "," 23.940,12 "," 22.772,30 "," 0,00 ",-,CFD,US6311011026,
3095176245,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 150,00 ",0.128739,06/08/2025 20:09:42,07/08/2025 04:53:48,20," 0,46 ",0.00," 6,17 ",-,-," 23.303,26 "," 23.351,15 "," 23.886,05 "," 22.720,87 ","(0,71)",-,CFD,US6311011026,
3095119018,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 100,99 ",0.086652,06/08/2025 18:47:39,06/08/2025 19:40:51,20," 0,30 ",0.00," 0,93 ",-,-," 23.311,51 "," 23.322,30 "," 23.894,22 "," 22.728,72 "," 0,00 ",-,CFD,US6311011026,
3094936532,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 149,99 ",0.128896,06/08/2025 17:46:51,06/08/2025 18:45:04,20," 0,46 ",0.00," 4,50 ",-,-," 23.273,81 "," 23.308,70 "," 23.855,76 "," 22.692,06 "," 0,00 ",-,CFD,US6311011026,
3088524142,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 182,77 ",0.102578,31/07/2025 17:19:52,06/08/2025 17:46:28,20," 0,36 ",0.00,"(13,34)",-,-," 23.396,91 "," 23.266,90 "," 23.981,73 "," 22.200,00 ","(3,36)",-,CFD,US6311011026,
3088420955,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 119,33 ",0.064375,31/07/2025 16:11:35,06/08/2025 17:46:28,20," 0,22 ",0.00,"(12,89)",-,-," 23.467,12 "," 23.266,90 "," 24.054,30 "," 22.200,00 ","(2,12)",-,CFD,US6311011026,
3088535538,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 85,20 ",0.050053,31/07/2025 17:30:26,06/08/2025 17:39:20,20," 0,18 ",0.00,"(2,42)",-,-," 23.319,21 "," 23.270,80 "," 39.455,33 "," 22.200,00 ","(1,64)",-,CFD,US6311011026,
3094924039,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 206,76 ",0.12147,31/07/2025 17:30:26,06/08/2025 17:29:21,20," 0,42 ",0.00,"(6,54)",-,-," 23.319,21 "," 23.265,40 "," 39.455,33 "," 22.200,00 ","(3,97)",-,CFD,US6311011026,
3093469362,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 86,93 ",0.052321,05/08/2025 11:13:00,06/08/2025 16:47:46,20," 0,18 ",0.00,"(2,01)",-,-," 23.279,56 "," 23.241,21 "," 23.289,26 "," 22.200,00 ","(0,29)",-,CFD,US6311011026,
3093739601,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 82,03 ",0.051704,05/08/2025 14:14:18,06/08/2025 15:18:54,20," 0,18 ",0.00,"(0,28)",-,-," 23.206,40 "," 23.201,01 "," 23.250,00 "," 22.200,00 ","(0,29)",-,CFD,US6311011026,
3094642252,NASDAQ100 Index (Non Expiry) (NSDQ100),Long," 82,04 ",0.051715,05/08/2025 14:14:18,06/08/2025 14:07:05,20," 0,18 ",0.00,"(1,78)",-,-," 23.206,40 "," 23.171,91 "," 23.250,00 "," 22.200,00 ","(0,29)",-,CFD,US6311011026,
