Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
05/06/2025 19:15:26,Open Position,NSDQ100/USD," 119,99 ",0.111157," 0,00 "," 1.597,75 "," 1.375,78 ",3035645386,CFD," 0,00 "
05/06/2025 19:16:56,Edit Stop Loss,-,"(19,23)",-," 0,00 "," 1.597,75 "," 1.356,55 ",3035569956,-," 0,00 "
05/06/2025 19:19:04,Open Position,NSDQ100/USD," 150,00 ",0.139527," 0,00 "," 1.597,75 "," 1.206,55 ",3035652386,CFD," 0,00 "
05/06/2025 19:19:57,Open Position,TSLA/USD," 199,98 ",3.607515," 0,00 "," 1.597,75 "," 1.006,57 ",3035653956,CFD," 0,00 "
05/06/2025 19:20:13,Position closed,TSLA/USD," 202,46 ",3.607515," 2,48 "," 1.600,23 "," 1.209,03 ",3035653956,CFD," 0,00 "
05/06/2025 19:20:42,Open Position,TSLA.EXT/USD," 250,00 ",4.493546," 0,00 "," 1.600,23 "," 959,03 ",3035655784,CFD," 0,00 "
05/06/2025 19:28:16,Position closed,TSLA.EXT/USD," 258,64 ",4.493546," 8,64 "," 1.608,87 "," 1.217,67 ",3035655784,CFD," 0,00 "
05/06/2025 19:28:27,Position closed,NSDQ100/USD," 153,04 ",0.139527," 3,04 "," 1.611,91 "," 1.370,71 ",3035652386,CFD," 0,00 "
05/06/2025 19:28:38,Open Position,NSDQ100/USD," 119,99 ",0.111487," 0,00 "," 1.611,91 "," 1.250,72 ",3035671986,CFD," 0,00 "
05/06/2025 19:28:52,Open Position,TSLA.EXT/USD," 119,99 ",2.125226," 0,00 "," 1.611,91 "," 1.130,73 ",3035672505,CFD," 0,00 "
05/06/2025 19:30:02,Position closed,NSDQ100/USD," 120,97 ",0.111487," 0,98 "," 1.612,89 "," 1.251,70 ",3035671986,CFD," 0,00 "
05/06/2025 19:30:12,Open Position,NSDQ100/USD," 150,00 ",0.139158," 0,00 "," 1.612,89 "," 1.101,70 ",3035674381,CFD," 0,00 "
05/06/2025 19:30:25,Open Position,TSLA.EXT/USD," 130,00 ",2.283857," 0,00 "," 1.612,89 "," 971,70 ",3035674683,CFD," 0,00 "
05/06/2025 19:36:40,Position closed,NSDQ100/USD," 120,11 ",0.111157," 0,12 "," 1.613,01 "," 1.091,81 ",3035645386,CFD," 0,00 "
05/06/2025 19:36:52,Position closed,TSLA.EXT/USD," 127,32 ",2.125226," 7,33 "," 1.620,34 "," 1.219,13 ",3035672505,CFD," 0,00 "
05/06/2025 19:37:01,Position closed,TSLA.EXT/USD," 132,82 ",2.283857," 2,82 "," 1.623,16 "," 1.351,95 ",3035674683,CFD," 0,00 "
05/06/2025 19:37:31,Open Position,TSLA.EXT/USD," 119,99 ",2.084483," 0,00 "," 1.623,16 "," 1.231,96 ",3035682319,CFD," 0,00 "
05/06/2025 19:37:47,Position closed,NSDQ100/USD," 159,00 ",0.139158," 9,00 "," 1.632,16 "," 1.390,96 ",3035674381,CFD," 0,00 "
05/06/2025 19:52:36,Open Position,NSDQ100/USD," 150,00 ",0.139073," 0,00 "," 1.632,16 "," 1.240,96 ",3035733829,CFD," 0,00 "
05/06/2025 20:45:53,Open Position,NSDQ100/USD," 119,99 ",0.111616," 0,00 "," 1.632,16 "," 1.120,97 ",3035792963,CFD," 0,00 "
05/06/2025 23:12:28,Overnight fee,Daily,"(0,17)",-,"(0,17)"," 1.631,99 "," 1.120,80 ",3035682319,CFD," 0,00 "
05/06/2025 23:12:28,Overnight fee,Daily,"(0,49)",-,"(0,49)"," 1.631,50 "," 1.120,31 ",3035569956,CFD," 0,00 "
05/06/2025 23:12:28,Overnight fee,Daily,"(0,58)",-,"(0,58)"," 1.630,92 "," 1.119,73 ",3035792963,CFD," 0,00 "
05/06/2025 23:12:28,Overnight fee,Daily,"(0,72)",-,"(0,72)"," 1.630,20 "," 1.119,01 ",3035733829,CFD," 0,00 "
06/06/2025 00:07:45,Position closed,NSDQ100/USD," 125,00 ",0.111616," 5,01 "," 1.635,21 "," 1.244,01 ",3035792963,CFD," 0,00 "
06/06/2025 00:33:29,Index price adjustment,NSDQ100/USD," 0,28 ",-," 0,28 "," 1.635,49 "," 1.244,29 ",3035569956,CFD," 0,00 "
06/06/2025 00:33:29,Index price adjustment,NSDQ100/USD," 0,42 ",-," 0,42 "," 1.635,91 "," 1.244,71 ",3035733829,CFD," 0,00 "
06/06/2025 04:44:22,Position closed,TSLA.EXT/USD," 150,99 ",2.084483," 31,00 "," 1.666,91 "," 1.395,70 ",3035682319,CFD," 0,00 "
06/06/2025 04:50:09,Position closed,NSDQ100/USD," 154,01 ",0.139073," 4,01 "," 1.670,92 "," 1.549,71 ",3035733829,CFD," 0,00 "
06/06/2025 07:01:00,Open Position,NSDQ100/USD," 119,99 ",0.110875," 0,00 "," 1.670,92 "," 1.429,72 ",3035893467,CFD," 0,00 "
06/06/2025 10:21:19,Position closed,NSDQ100/USD," 120,89 ",0.110875," 0,90 "," 1.671,82 "," 1.550,61 ",3035893467,CFD," 0,00 "
06/06/2025 12:01:13,Position closed,NSDQ100/USD," 60,79 ",0.051339,"(5,56)"," 1.666,26 "," 1.611,40 ",3035989365,CFD," 0,00 "
06/06/2025 12:32:45,Position closed,NSDQ100/USD," 52,96 ",0.04245,"(1,90)"," 1.664,36 "," 1.664,36 ",3035569956,CFD," 0,00 "
06/06/2025 12:43:18,Open Position,NSDQ100/USD," 138,00 ",0.126995," 0,00 "," 1.664,36 "," 1.526,36 ",3036005049,CFD," 0,00 "
06/06/2025 14:40:47,Position closed,NSDQ100/USD," 145,50 ",0.126995," 7,50 "," 1.671,86 "," 1.671,86 ",3036005049,CFD," 0,00 "
06/06/2025 15:44:49,Open Position,NSDQ100/USD," 119,99 ",0.110222," 0,00 "," 1.671,86 "," 1.551,87 ",3036507695,CFD," 0,00 "
06/06/2025 16:11:19,Position closed,NSDQ100/USD," 122,94 ",0.110222," 2,95 "," 1.674,81 "," 1.674,81 ",3036507695,CFD," 0,00 "
06/06/2025 16:29:13,Open Position,NSDQ100/USD," 150,00 ",0.137877," 0,00 "," 1.674,81 "," 1.524,81 ",3036537648,CFD," 0,00 "
06/06/2025 17:34:40,Position closed,NSDQ100/USD," 151,51 ",0.137877," 1,51 "," 1.676,32 "," 1.676,32 ",3036537648,CFD," 0,00 "
