Date,Type,Details,Amount,Units / Contracts,Realized Equity Change,Realized Equity,Balance,Position ID,Asset type,NWA
13/02/2025 23:21:30,Position closed,NSDQ100/USD," 50,11 ",0.045447," 0,12 "," 4.533,69 "," 2.410,11 ",2942011196,CFD," 0,00 "
14/02/2025 00:32:01,Index price adjustment,NSDQ100/USD,"(0,26)",-,"(0,26)"," 4.533,43 "," 2.409,85 ",2940436584,CFD," 0,00 "
14/02/2025 00:32:01,Index price adjustment,NSDQ100/USD,"(0,26)",-,"(0,26)"," 4.533,17 "," 2.409,59 ",2941769321,CFD," 0,00 "
14/02/2025 00:32:01,Index price adjustment,NSDQ100/USD,"(0,52)",-,"(0,52)"," 4.532,65 "," 2.409,07 ",2941867797,CFD," 0,00 "
14/02/2025 00:32:01,Index price adjustment,NSDQ100/USD,"(0,78)",-,"(0,78)"," 4.531,87 "," 2.408,29 ",2941886745,CFD," 0,00 "
14/02/2025 00:32:01,Index price adjustment,NSDQ100/USD,"(0,39)",-,"(0,39)"," 4.531,48 "," 2.407,90 ",2941917933,CFD," 0,00 "
14/02/2025 00:32:01,Index price adjustment,NSDQ100/USD,"(0,39)",-,"(0,39)"," 4.531,09 "," 2.407,51 ",2941954565,CFD," 0,00 "
14/02/2025 00:48:08,Overnight refund,Daily," 0,47 ",-," 0,47 "," 4.531,56 "," 2.407,98 ",2941868070,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,03)",-,"(0,03)"," 4.531,53 "," 2.407,95 ",2940436584,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,03)",-,"(0,03)"," 4.531,50 "," 2.407,92 ",2941769321,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,05)",-,"(0,05)"," 4.531,45 "," 2.407,87 ",2941954565,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,05)",-,"(0,05)"," 4.531,40 "," 2.407,82 ",2941917933,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,06)",-,"(0,06)"," 4.531,34 "," 2.407,76 ",2941867797,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,09)",-,"(0,09)"," 4.531,25 "," 2.407,67 ",2941886745,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(0,24)",-,"(0,24)"," 4.531,01 "," 2.407,43 ",2942011196,CFD," 0,00 "
14/02/2025 00:48:08,Overnight fee,Daily,"(1,20)",-,"(1,20)"," 4.529,81 "," 2.406,23 ",2941973158,CFD," 0,00 "
14/02/2025 01:04:40,Position closed,USD/JPY," 270,07 ",7800," 10,07 "," 4.539,88 "," 2.676,30 ",2941973158,CFD," 0,00 "
14/02/2025 07:18:42,Position closed,NSDQ100/USD," 158,23 ",0.136301," 8,24 "," 4.548,12 "," 2.834,53 ",2942024305,CFD," 0,00 "
14/02/2025 07:29:37,Open Position,NSDQ100/USD," 149,99 ",0.135921," 0,00 "," 4.548,12 "," 2.684,54 ",2942069260,CFD," 0,00 "
14/02/2025 07:36:02,Position closed,USD/JPY," 86,59 ",3000.059462,"(13,41)"," 4.534,71 "," 2.771,13 ",2942070040,CFD," 0,00 "
14/02/2025 07:36:26,Open Position,USD/JPY," 119,99 ",3600," 0,00 "," 4.534,71 "," 2.651,14 ",2942070085,CFD," 0,00 "
14/02/2025 07:37:21,Open Position,NSDQ100/USD," 99,99 ",0.090643," 0,00 "," 4.534,71 "," 2.551,15 ",2942070166,CFD," 0,00 "
14/02/2025 08:02:50,Open Position,NSDQ100/USD," 149,99 ",0.135999," 0,00 "," 4.534,71 "," 2.401,16 ",2942100890,CFD," 0,00 "
14/02/2025 08:35:53,Position closed,NSDQ100/USD," 101,29 ",0.090643," 1,30 "," 4.536,01 "," 2.502,45 ",2942070166,CFD," 0,00 "
14/02/2025 08:36:06,Open Position,NSDQ100/USD," 150,00 ",0.136075," 0,00 "," 4.536,01 "," 2.352,45 ",2942137383,CFD," 0,00 "
14/02/2025 10:11:25,Position closed,USD/JPY," 122,09 ",3600," 2,10 "," 4.538,11 "," 2.474,54 ",2942070085,CFD," 0,00 "
14/02/2025 10:12:18,Open Position,USD/JPY," 149,99 ",4500," 0,00 "," 4.538,11 "," 2.324,55 ",2942176904,CFD," 0,00 "
14/02/2025 10:12:39,Position closed,NSDQ100/USD," 151,90 ",0.136075," 1,90 "," 4.540,01 "," 2.476,45 ",2942137383,CFD," 0,00 "
14/02/2025 10:13:03,Open Position,NSDQ100/USD," 149,99 ",0.136187," 0,00 "," 4.540,01 "," 2.326,46 ",2942178265,CFD," 0,00 "
14/02/2025 11:19:50,Position closed,NSDQ100/USD," 154,96 ",0.136187," 4,97 "," 4.544,98 "," 2.481,42 ",2942178265,CFD," 0,00 "
14/02/2025 12:07:12,Position closed,NSDQ100/USD," 151,32 ",0.136436," 1,33 "," 4.546,31 "," 2.632,74 ",2941954565,CFD," 0,00 "
14/02/2025 12:19:57,Open Position,NSDQ100/USD," 99,99 ",0.090912," 0,00 "," 4.546,31 "," 2.532,75 ",2942215587,CFD," 0,00 "
14/02/2025 13:23:00,Position closed,NSDQ100/USD," 100,03 ",0.090912," 0,04 "," 4.546,35 "," 2.632,78 ",2942215587,CFD," 0,00 "
